단어		단어 뜻
-(할)바에야		① (이왕 …이면)se …entute. 이왕 그만둘 ～ se vi rezignos (forlasos) entute. ② (차라리)prefere.
~모양의		kruca. ～모양의 신호 krucosigno. (예수의-)～상 (像) krucifikso. ～에서 내려주다 dekrucigi. ～의 길 kalvaria vojo. ～형(刑) krucumado. ～형에 처하다 krucumi.
가		(假)   ① (임시)provizora. ～조약 provizora traktato. ②pseŭda.　③<광학> virtuala. (街)   ①strato. ②kvartalo.
가[邊]		rando. …의 ～에 rande de. ～에 ㉠ĉe. ㉡apud.
가가호호		(家家戶戶)   ①ĉiu domo. ② (집집마다) de domo al domo.
가감		(加減)   ① (수학)adicio kaj subtraho; plus kaj minus. ～하다 adicii kaj subtrahi. ② (조절)moderigo. ～하다 ㉠moderigi. ㉡modifi.
가감저항기		<전기> reostato.
가건물		(假建物)   ①provizora domo. ②budo.
가게		①butiko. ～에 가서 물건을 사다 butikumi. ～주인 butikisto. 식료품 ～ butiko de manĝo-materialoj. ②vendejo. ③lokalo. ～를 임차하다 lui lokalon. ④komercodomo.
가격		(價格)   ①prezo. ～경쟁 prezokonkurado. ～꼬리표 prezindiko. ～을 매기다 kvoti. ～정하다 ㉠dedici la prezon. ㉡tarifi. ～인하 rabato. ☞ diskonto. ②valoro. ～표기 소포 valorpakaĵo. ～하락 minusvaloro. 한정～ limvaloro.
가격표		①prezaro. ②tarifo. ③prezlisto. ④ (백화점-)taksaro.
가결		(可決)하다   decidi.
가경		(佳景)   bela pejzaĝo (vidaĵo, spektaklo).
가계		(家系)   ①familia linio (deveno). ②genealogio. ③raso. (家計)   ①hejma ekonomio. ②mastrumado.
가계부(家計簿)		mastrumada libro.
가곡		(歌曲)   ①ario. ②kanto.
가골		(假骨)   <의학> kaluso.
가공		(加工)   ①prilabor (ad)o. ～하다 prilabori. ～품 (品) prilaboritaĵo, prilaborita objekto. ②trakt (ad)o. ～하다 trakti. ～된 ㉠prilaborita. ㉡malkruda. ～된 보석 수집품 gliptoteko. ～하지 않은 kruda. (架空)의   ①fikcia. ②fiktiva.
가공삭도		(架空索道)   kablotrajno, kablotramo.
가공선		(架空線)   (전차・트롤리버스의) katenario.
가공적		(架空的)인   mita. ～ 것 <비유> mito.
가공할		(可恐-)   terura.
가관		(可觀)   ①vidindaĵo. ②spektaklo.
가교		(架橋)   ponto-konstruo. (假橋)   provizora ponto.
가구		(家具)   meblo. ～를 갖추다 mebli. ～를 없애다 senmebligi. ～상 meblovendisto. ～제조인 meblisto. ～창고 meblotenejo.
가극		(歌劇)   opero.
가금		(家禽)   kortobirdo. ～장 (場) birdkorto.
가급적		(可及的)   ①kiel eble plej. ②tiel -e, kiel oni povas.
가기		(嫁期)   aĝo responda (bona) por edziniĝo.
가까스로		①<부사>apenaŭ. ②malfacile. ③kun malfacilego.
